type;latitude;longitude;altitude (m);course;slope (%);distance (km);distance_interval (m);name;desc;kml_folder
T;37.005441711;-86.360394607;162.5;188.7;1.5;3.761;21.95;;;
T;37.005109096;-86.360471589;162.2;190.5;-0.8;3.799;37.54;;;
T;37.004822787;-86.360524611;161.9;188.4;-0.8;3.831;32.12;;;
T;37.004532307;-86.360590374;162.3;190.2;1.3;3.863;32.76;;;
T;37.004356079;-86.360634713;161.9;191.4;-2.3;3.883;19.95;;;
T;37.004239568;-86.360713563;161.5;208.4;-2.7;3.898;14.71;;;
T;37.004148210;-86.360828078;161.2;225.0;-2.2;3.912;14.38;;;
T;37.004074851;-86.360988543;160.8;240.2;-2.0;3.929;16.44;;;
T;37.004039590;-86.361182405;160.8;257.2;-0.2;3.947;17.69;;;
T;37.004047769;-86.361311066;160.8;274.6;0.4;3.958;11.49;;;
T;37.004100180;-86.361479300;160.9;291.3;0.5;3.974;16.06;;;
T;37.004173851;-86.361614795;161.0;304.2;0.3;3.989;14.57;;;
T;37.004240160;-86.361687801;160.9;318.7;-0.3;3.999;9.82;;;
T;37.004310250;-86.361748337;160.8;325.4;-1.1;4.008;9.46;;;
T;37.004390628;-86.361786357;160.3;339.3;-6.1;4.018;9.54;;;
T;37.004525046;-86.361836183;159.6;343.5;-4.5;4.033;15.56;;;
T;37.004626621;-86.361809623;158.6;11.8;-8.7;4.045;11.52;;;
T;37.004774838;-86.361747105;156.9;18.6;-9.7;4.062;17.36;;;
T;37.004886071;-86.361666759;155.4;30.0;-10.5;4.076;14.27;;;
T;37.005049903;-86.361554457;154.0;28.7;-6.6;4.097;20.75;;;
T;37.005163101;-86.361518153;153.6;14.4;-2.7;4.110;12.97;;;
T;37.005323012;-86.361506522;154.7;3.3;5.8;4.128;17.78;;;
T;37.005482882;-86.361574197;156.1;341.3;7.7;4.147;18.74;;;
T;37.005592023;-86.361685430;157.5;320.9;9.0;4.162;15.64;;;
T;37.005668268;-86.361785313;158.5;313.7;7.8;4.174;12.27;;;
T;37.005707181;-86.361870121;159.0;299.9;5.9;4.183;8.70;;;
T;37.005739058;-86.362004719;159.5;286.5;4.3;4.196;12.49;;;
T;37.005746391;-86.362166332;160.2;273.3;4.5;4.210;14.41;;;
T;37.005716962;-86.362350326;160.9;258.7;4.5;4.227;16.70;;;
T;37.005641752;-86.362499000;161.5;237.6;3.4;4.242;15.65;;;
T;37.005532674;-86.362637093;161.9;225.3;2.4;4.260;17.25;;;
T;37.005432777;-86.362692196;162.1;203.8;1.5;4.272;12.12;;;
T;37.005298885;-86.362739713;162.4;195.8;2.2;4.287;15.45;;;
T;37.005213076;-86.362748568;162.5;184.7;1.3;4.297;9.56;;;
T;37.005123102;-86.362729446;162.6;170.4;0.3;4.307;10.13;;;
T;37.005029294;-86.362715823;162.7;173.4;1.1;4.317;10.48;;;
T;37.004935791;-86.362732161;162.9;187.9;2.0;4.328;10.48;;;
T;37.004853112;-86.362760341;163.1;195.2;1.9;4.337;9.51;;;
T;37.004754717;-86.362836991;163.1;211.9;0.2;4.350;12.88;;;
T;37.004661468;-86.362959174;162.9;226.3;-1.1;4.365;15.01;;;
T;37.004587987;-86.363093722;162.5;235.6;-2.9;4.380;14.49;;;
T;37.004445287;-86.363312914;161.3;230.8;-4.7;4.405;25.13;;;
T;37.004337797;-86.363428911;160.7;220.8;-4.0;4.421;15.78;;;
T;37.004232514;-86.363507167;160.4;210.7;-2.3;4.434;13.60;;;
T;37.004113150;-86.363542169;160.3;193.2;-0.3;4.448;13.61;;;
T;37.003954496;-86.363573683;160.5;189.0;0.9;4.466;17.83;;;
T;37.003796775;-86.363607889;160.8;189.8;1.6;4.483;17.77;;;
T;37.003653184;-86.363644524;161.2;191.5;2.8;4.500;16.27;;;
T;37.003541690;-86.363688073;161.7;197.3;3.5;4.513;12.97;;;
T;37.003442371;-86.363747777;162.0;205.6;2.8;4.525;12.24;;;
T;37.003368679;-86.363797371;162.0;208.3;0.4;4.534;9.29;;;
T;37.003278477;-86.363902121;162.0;222.8;-0.1;4.548;13.68;;;
T;37.003164096;-86.364099492;161.6;234.0;-2.0;4.570;21.67;;;
T;37.002915125;-86.364624922;159.7;239.3;-3.5;4.624;54.32;;;
T;37.002487801;-86.365523644;159.1;239.2;-0.6;4.717;92.99;;;
T;37.002093995;-86.366373549;157.9;239.9;-1.4;4.804;87.37;;;
T;37.001408096;-86.367844131;157.5;239.7;-0.3;4.956;151.42;;;
T;37.001110324;-86.368461326;157.1;238.9;-0.6;5.020;64.11;;;
T;37.001050648;-86.368574870;157.0;236.7;-0.6;5.032;12.08;;;
